clade,low_lat,high_lat,span,prediction
Fabaceae,0,79,132,Resistant
Myrtaceae,0,56,106,Moderate
Pittosporaceae,0,48,88,Sensitive
Rubiaceae,0,83,139,Resistant
Rutaceae,0,56,106,Moderate
