Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,031052,1965,04,09,20.6,1,Y
IDCJAC0011,031052,1965,04,10,20.0,1,Y
IDCJAC0011,031052,1965,04,11,20.0,1,Y
IDCJAC0011,031052,1965,04,12,20.0,1,Y
IDCJAC0011,031052,1965,04,13,20.0,1,Y
IDCJAC0011,031052,1965,04,14,18.9,1,Y
IDCJAC0011,031052,1965,04,15,18.9,1,Y
IDCJAC0011,031052,1965,04,16,18.9,1,Y
IDCJAC0011,031052,1965,04,17,20.0,1,Y
IDCJAC0011,031052,1965,04,18,22.8,1,Y
IDCJAC0011,031052,1965,04,19,19.4,1,Y
IDCJAC0011,031052,1965,04,20,21.1,1,Y
IDCJAC0011,031052,1965,04,21,22.2,1,Y
IDCJAC0011,031052,1965,04,22,22.8,1,Y
IDCJAC0011,031052,1965,04,23,22.2,1,Y
IDCJAC0011,031052,1965,04,24,22.8,1,Y
IDCJAC0011,031052,1965,04,25,23.3,1,Y
IDCJAC0011,031052,1965,04,26,22.8,1,Y
IDCJAC0011,031052,1965,04,27,22.8,1,Y
IDCJAC0011,031052,1965,04,28,22.8,1,Y
IDCJAC0011,031052,1965,04,29,21.7,1,Y
IDCJAC0011,031052,1965,04,30,22.2,1,Y
IDCJAC0011,031052,1965,05,01,22.8,1,Y
IDCJAC0011,031052,1965,05,02,21.7,1,Y
IDCJAC0011,031052,1965,05,03,21.1,1,Y
IDCJAC0011,031052,1965,05,04,21.1,1,Y
IDCJAC0011,031052,1965,05,05,21.1,1,Y
IDCJAC0011,031052,1965,05,06,20.0,1,Y
IDCJAC0011,031052,1965,05,07,18.3,1,Y
IDCJAC0011,031052,1965,05,08,21.1,1,Y
IDCJAC0011,031052,1965,05,09,21.1,1,Y
IDCJAC0011,031052,1965,05,10,19.4,1,Y
IDCJAC0011,031052,1965,05,11,18.9,1,Y
IDCJAC0011,031052,1965,05,12,20.0,1,Y
IDCJAC0011,031052,1965,05,13,20.0,1,Y
IDCJAC0011,031052,1965,05,14,20.6,1,Y
IDCJAC0011,031052,1965,05,15,19.4,1,Y
IDCJAC0011,031052,1965,05,16,16.7,1,Y
IDCJAC0011,031052,1965,05,17,16.7,1,Y
IDCJAC0011,031052,1965,05,18,21.1,1,Y
IDCJAC0011,031052,1965,05,19,22.2,1,Y
IDCJAC0011,031052,1965,05,20,22.2,1,Y
IDCJAC0011,031052,1965,05,21,22.2,1,Y
IDCJAC0011,031052,1965,05,22,20.0,1,Y
IDCJAC0011,031052,1965,05,23,18.3,1,Y
IDCJAC0011,031052,1965,05,24,20.0,1,Y
IDCJAC0011,031052,1965,05,25,19.4,1,Y
IDCJAC0011,031052,1965,05,26,18.3,1,Y
IDCJAC0011,031052,1965,05,27,18.9,1,Y
IDCJAC0011,031052,1965,05,28,16.7,1,Y
IDCJAC0011,031052,1965,05,29,16.1,1,Y
IDCJAC0011,031052,1965,05,30,13.9,1,Y
IDCJAC0011,031052,1965,05,31,15.0,1,Y
IDCJAC0011,031052,1965,06,01,16.1,1,Y
IDCJAC0011,031052,1965,06,02,16.7,1,Y
IDCJAC0011,031052,1965,06,03,17.2,1,Y
IDCJAC0011,031052,1965,06,04,18.9,1,Y
IDCJAC0011,031052,1965,06,05,16.7,1,Y
IDCJAC0011,031052,1965,06,06,19.4,1,Y
IDCJAC0011,031052,1965,06,07,17.2,1,Y
IDCJAC0011,031052,1965,06,08,18.9,1,Y
IDCJAC0011,031052,1965,06,09,18.9,1,Y
IDCJAC0011,031052,1965,06,10,18.3,1,Y
IDCJAC0011,031052,1965,06,11,20.6,1,Y
IDCJAC0011,031052,1965,06,12,19.4,1,Y
IDCJAC0011,031052,1965,06,13,19.4,1,Y
IDCJAC0011,031052,1965,06,14,20.0,1,Y
IDCJAC0011,031052,1965,06,15,18.3,1,Y
IDCJAC0011,031052,1965,06,16,20.0,1,Y
IDCJAC0011,031052,1965,06,17,19.4,1,Y
IDCJAC0011,031052,1965,06,18,16.1,1,Y
IDCJAC0011,031052,1965,06,19,15.6,1,Y
IDCJAC0011,031052,1965,06,20,16.1,1,Y
IDCJAC0011,031052,1965,06,21,17.8,1,Y
IDCJAC0011,031052,1965,06,22,16.7,1,Y
IDCJAC0011,031052,1965,06,23,16.7,1,Y
IDCJAC0011,031052,1965,06,24,12.8,1,Y
IDCJAC0011,031052,1965,06,25,9.4,1,Y
IDCJAC0011,031052,1965,06,26,8.9,1,Y
IDCJAC0011,031052,1965,06,27,11.1,1,Y
IDCJAC0011,031052,1965,06,28,12.8,1,Y
IDCJAC0011,031052,1965,06,29,13.3,1,Y
IDCJAC0011,031052,1965,06,30,17.2,1,Y
IDCJAC0011,031052,1965,07,01,,,
IDCJAC0011,031052,1965,07,02,,,
IDCJAC0011,031052,1965,07,03,,,
IDCJAC0011,031052,1965,07,04,,,
IDCJAC0011,031052,1965,07,05,,,
IDCJAC0011,031052,1965,07,06,,,
IDCJAC0011,031052,1965,07,07,,,
IDCJAC0011,031052,1965,07,08,,,
IDCJAC0011,031052,1965,07,09,,,
IDCJAC0011,031052,1965,07,10,,,
IDCJAC0011,031052,1965,07,11,,,
IDCJAC0011,031052,1965,07,12,,,
IDCJAC0011,031052,1965,07,13,,,
IDCJAC0011,031052,1965,07,14,,,
IDCJAC0011,031052,1965,07,15,,,
IDCJAC0011,031052,1965,07,16,,,
IDCJAC0011,031052,1965,07,17,,,
IDCJAC0011,031052,1965,07,18,,,
IDCJAC0011,031052,1965,07,19,,,
IDCJAC0011,031052,1965,07,20,,,
IDCJAC0011,031052,1965,07,21,,,
IDCJAC0011,031052,1965,07,22,,,
IDCJAC0011,031052,1965,07,23,,,
IDCJAC0011,031052,1965,07,24,,,
IDCJAC0011,031052,1965,07,25,,,
IDCJAC0011,031052,1965,07,26,,,
IDCJAC0011,031052,1965,07,27,,,
IDCJAC0011,031052,1965,07,28,,,
IDCJAC0011,031052,1965,07,29,,,
IDCJAC0011,031052,1965,07,30,,,
IDCJAC0011,031052,1965,07,31,,,
IDCJAC0011,031052,1965,08,01,16.7,1,N
IDCJAC0011,031052,1965,08,02,15.0,1,Y
IDCJAC0011,031052,1965,08,03,13.9,1,Y
IDCJAC0011,031052,1965,08,04,11.7,1,Y
IDCJAC0011,031052,1965,08,05,15.6,1,Y
IDCJAC0011,031052,1965,08,06,16.1,1,Y
IDCJAC0011,031052,1965,08,07,17.8,1,Y
IDCJAC0011,031052,1965,08,08,17.8,1,Y
IDCJAC0011,031052,1965,08,09,17.8,1,Y
IDCJAC0011,031052,1965,08,10,15.6,1,Y
IDCJAC0011,031052,1965,08,11,14.4,1,Y
IDCJAC0011,031052,1965,08,12,15.6,1,Y
IDCJAC0011,031052,1965,08,13,18.3,1,Y
IDCJAC0011,031052,1965,08,14,21.1,1,Y
IDCJAC0011,031052,1965,08,15,21.1,1,Y
IDCJAC0011,031052,1965,08,16,17.8,1,Y
IDCJAC0011,031052,1965,08,17,18.3,1,Y
IDCJAC0011,031052,1965,08,18,17.2,1,Y
IDCJAC0011,031052,1965,08,19,17.2,1,Y
IDCJAC0011,031052,1965,08,20,16.7,1,Y
IDCJAC0011,031052,1965,08,21,15.0,1,Y
IDCJAC0011,031052,1965,08,22,15.6,1,Y
IDCJAC0011,031052,1965,08,23,16.1,1,Y
IDCJAC0011,031052,1965,08,24,15.0,1,Y
IDCJAC0011,031052,1965,08,25,16.1,1,Y
IDCJAC0011,031052,1965,08,26,15.0,1,Y
IDCJAC0011,031052,1965,08,27,16.7,1,Y
IDCJAC0011,031052,1965,08,28,18.3,1,Y
IDCJAC0011,031052,1965,08,29,17.2,1,Y
IDCJAC0011,031052,1965,08,30,17.2,1,Y
IDCJAC0011,031052,1965,08,31,19.4,1,Y
IDCJAC0011,031052,1965,09,01,20.0,1,Y
IDCJAC0011,031052,1965,09,02,18.9,1,Y
IDCJAC0011,031052,1965,09,03,17.8,1,Y
IDCJAC0011,031052,1965,09,04,17.2,1,Y
IDCJAC0011,031052,1965,09,05,17.8,1,Y
IDCJAC0011,031052,1965,09,06,17.8,1,Y
IDCJAC0011,031052,1965,09,07,16.7,1,Y
IDCJAC0011,031052,1965,09,08,17.2,1,Y
IDCJAC0011,031052,1965,09,09,19.4,1,Y
IDCJAC0011,031052,1965,09,10,20.0,1,Y
IDCJAC0011,031052,1965,09,11,18.3,1,Y
IDCJAC0011,031052,1965,09,12,18.9,1,Y
IDCJAC0011,031052,1965,09,13,17.8,1,Y
IDCJAC0011,031052,1965,09,14,17.8,1,Y
IDCJAC0011,031052,1965,09,15,17.8,1,Y
IDCJAC0011,031052,1965,09,16,17.8,1,Y
IDCJAC0011,031052,1965,09,17,17.8,1,Y
IDCJAC0011,031052,1965,09,18,16.1,1,Y
IDCJAC0011,031052,1965,09,19,22.8,1,Y
IDCJAC0011,031052,1965,09,20,18.3,1,Y
IDCJAC0011,031052,1965,09,21,18.9,1,Y
IDCJAC0011,031052,1965,09,22,17.2,1,Y
IDCJAC0011,031052,1965,09,23,17.2,1,Y
IDCJAC0011,031052,1965,09,24,17.8,1,Y
IDCJAC0011,031052,1965,09,25,20.0,1,Y
IDCJAC0011,031052,1965,09,26,20.0,1,Y
IDCJAC0011,031052,1965,09,27,16.7,1,Y
IDCJAC0011,031052,1965,09,28,16.7,1,Y
IDCJAC0011,031052,1965,09,29,13.9,1,Y
IDCJAC0011,031052,1965,09,30,18.9,1,Y
IDCJAC0011,031052,1965,10,01,17.8,1,Y
