Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,030124,2005,06,01,15.9,1,Y
IDCJAC0011,030124,2005,06,02,17.3,1,Y
IDCJAC0011,030124,2005,06,03,18.0,1,Y
IDCJAC0011,030124,2005,06,04,19.1,1,Y
IDCJAC0011,030124,2005,06,05,18.0,1,Y
IDCJAC0011,030124,2005,06,06,18.7,1,Y
IDCJAC0011,030124,2005,06,07,17.8,1,Y
IDCJAC0011,030124,2005,06,08,18.6,1,Y
IDCJAC0011,030124,2005,06,09,18.7,1,Y
IDCJAC0011,030124,2005,06,10,18.3,1,Y
IDCJAC0011,030124,2005,06,11,14.1,1,Y
IDCJAC0011,030124,2005,06,12,13.5,1,Y
IDCJAC0011,030124,2005,06,13,15.1,1,Y
IDCJAC0011,030124,2005,06,14,14.6,1,Y
IDCJAC0011,030124,2005,06,15,15.4,1,Y
IDCJAC0011,030124,2005,06,16,17.5,1,Y
IDCJAC0011,030124,2005,06,17,16.4,1,Y
IDCJAC0011,030124,2005,06,18,17.4,1,Y
IDCJAC0011,030124,2005,06,19,21.3,1,Y
IDCJAC0011,030124,2005,06,20,18.7,1,Y
IDCJAC0011,030124,2005,06,21,18.3,1,Y
IDCJAC0011,030124,2005,06,22,12.3,1,Y
IDCJAC0011,030124,2005,06,23,13.1,1,Y
IDCJAC0011,030124,2005,06,24,15.4,1,Y
IDCJAC0011,030124,2005,06,25,14.4,1,Y
IDCJAC0011,030124,2005,06,26,18.2,1,Y
IDCJAC0011,030124,2005,06,27,18.2,1,Y
IDCJAC0011,030124,2005,06,28,16.6,1,Y
IDCJAC0011,030124,2005,06,29,15.8,1,Y
IDCJAC0011,030124,2005,06,30,16.4,1,Y
IDCJAC0011,030124,2005,07,01,14.8,1,Y
IDCJAC0011,030124,2005,07,02,15.1,1,Y
IDCJAC0011,030124,2005,07,03,19.2,1,Y
IDCJAC0011,030124,2005,07,04,18.3,1,Y
IDCJAC0011,030124,2005,07,05,20.4,1,Y
IDCJAC0011,030124,2005,07,06,20.0,1,Y
IDCJAC0011,030124,2005,07,07,15.4,1,Y
IDCJAC0011,030124,2005,07,08,17.8,1,Y
IDCJAC0011,030124,2005,07,09,14.1,1,Y
IDCJAC0011,030124,2005,07,10,15.9,1,Y
IDCJAC0011,030124,2005,07,11,14.3,1,Y
IDCJAC0011,030124,2005,07,12,9.7,1,Y
IDCJAC0011,030124,2005,07,13,9.3,1,Y
IDCJAC0011,030124,2005,07,14,10.0,1,Y
IDCJAC0011,030124,2005,07,15,12.4,1,Y
IDCJAC0011,030124,2005,07,16,13.8,1,Y
IDCJAC0011,030124,2005,07,17,13.5,1,Y
IDCJAC0011,030124,2005,07,18,16.2,1,Y
IDCJAC0011,030124,2005,07,19,16.3,1,Y
IDCJAC0011,030124,2005,07,20,19.6,1,Y
IDCJAC0011,030124,2005,07,21,16.1,1,Y
IDCJAC0011,030124,2005,07,22,17.7,1,Y
IDCJAC0011,030124,2005,07,23,16.8,1,Y
IDCJAC0011,030124,2005,07,24,17.5,1,Y
IDCJAC0011,030124,2005,07,25,19.3,1,Y
IDCJAC0011,030124,2005,07,26,20.2,1,Y
IDCJAC0011,030124,2005,07,27,13.6,1,Y
IDCJAC0011,030124,2005,07,28,13.0,1,Y
IDCJAC0011,030124,2005,07,29,14.4,1,Y
IDCJAC0011,030124,2005,07,30,16.4,1,Y
IDCJAC0011,030124,2005,07,31,16.6,1,Y
IDCJAC0011,030124,2005,08,01,19.6,1,Y
IDCJAC0011,030124,2005,08,02,15.7,1,Y
IDCJAC0011,030124,2005,08,03,18.4,1,Y
IDCJAC0011,030124,2005,08,04,20.2,1,Y
IDCJAC0011,030124,2005,08,05,20.3,1,Y
IDCJAC0011,030124,2005,08,06,16.8,1,Y
IDCJAC0011,030124,2005,08,07,17.1,1,Y
IDCJAC0011,030124,2005,08,08,19.2,1,Y
IDCJAC0011,030124,2005,08,09,17.5,1,Y
IDCJAC0011,030124,2005,08,10,16.9,1,Y
IDCJAC0011,030124,2005,08,11,16.3,1,Y
IDCJAC0011,030124,2005,08,12,18.7,1,Y
IDCJAC0011,030124,2005,08,13,11.7,1,Y
IDCJAC0011,030124,2005,08,14,13.2,1,Y
IDCJAC0011,030124,2005,08,15,8.0,1,Y
IDCJAC0011,030124,2005,08,16,15.5,1,Y
IDCJAC0011,030124,2005,08,17,15.3,1,Y
IDCJAC0011,030124,2005,08,18,17.6,1,Y
IDCJAC0011,030124,2005,08,19,17.2,1,Y
IDCJAC0011,030124,2005,08,20,12.8,1,Y
IDCJAC0011,030124,2005,08,21,13.8,1,Y
IDCJAC0011,030124,2005,08,22,12.9,1,Y
IDCJAC0011,030124,2005,08,23,15.2,1,Y
IDCJAC0011,030124,2005,08,24,16.2,1,Y
IDCJAC0011,030124,2005,08,25,12.5,1,Y
IDCJAC0011,030124,2005,08,26,16.6,1,Y
IDCJAC0011,030124,2005,08,27,11.0,1,Y
IDCJAC0011,030124,2005,08,28,17.3,1,Y
IDCJAC0011,030124,2005,08,29,17.2,1,Y
IDCJAC0011,030124,2005,08,30,16.6,1,Y
IDCJAC0011,030124,2005,08,31,17.6,1,Y
IDCJAC0011,030124,2005,09,01,13.4,1,Y
IDCJAC0011,030124,2005,09,02,15.8,1,Y
IDCJAC0011,030124,2005,09,03,12.1,1,Y
IDCJAC0011,030124,2005,09,04,13.0,1,Y
IDCJAC0011,030124,2005,09,05,14.5,1,Y
IDCJAC0011,030124,2005,09,06,14.7,1,Y
IDCJAC0011,030124,2005,09,07,15.0,1,Y
IDCJAC0011,030124,2005,09,08,18.9,1,Y
IDCJAC0011,030124,2005,09,09,17.3,1,Y
IDCJAC0011,030124,2005,09,10,17.4,1,Y
IDCJAC0011,030124,2005,09,11,22.1,1,Y
IDCJAC0011,030124,2005,09,12,18.3,1,Y
IDCJAC0011,030124,2005,09,13,15.9,1,Y
IDCJAC0011,030124,2005,09,14,15.7,1,Y
IDCJAC0011,030124,2005,09,15,19.0,1,Y
IDCJAC0011,030124,2005,09,16,18.5,1,Y
IDCJAC0011,030124,2005,09,17,21.0,1,Y
IDCJAC0011,030124,2005,09,18,20.1,1,Y
IDCJAC0011,030124,2005,09,19,19.4,1,Y
IDCJAC0011,030124,2005,09,20,20.1,1,Y
IDCJAC0011,030124,2005,09,21,15.7,1,Y
IDCJAC0011,030124,2005,09,22,20.2,1,Y
IDCJAC0011,030124,2005,09,23,18.8,1,Y
IDCJAC0011,030124,2005,09,24,16.9,1,Y
IDCJAC0011,030124,2005,09,25,16.0,1,Y
IDCJAC0011,030124,2005,09,26,16.4,1,Y
IDCJAC0011,030124,2005,09,27,18.2,1,Y
IDCJAC0011,030124,2005,09,28,20.0,1,Y
IDCJAC0011,030124,2005,09,29,16.3,1,Y
IDCJAC0011,030124,2005,09,30,19.3,1,Y
IDCJAC0011,030124,2005,10,01,18.9,1,Y
IDCJAC0011,030124,2005,10,02,17.8,1,Y
IDCJAC0011,030124,2005,10,03,18.9,1,Y
IDCJAC0011,030124,2005,10,04,19.0,1,Y
IDCJAC0011,030124,2005,10,05,23.4,1,Y
IDCJAC0011,030124,2005,10,06,20.6,1,Y
IDCJAC0011,030124,2005,10,07,22.1,1,Y
IDCJAC0011,030124,2005,10,08,22.0,1,Y
IDCJAC0011,030124,2005,10,09,23.5,1,Y
IDCJAC0011,030124,2005,10,10,25.7,1,Y
IDCJAC0011,030124,2005,10,11,25.8,1,Y
IDCJAC0011,030124,2005,10,12,22.3,1,Y
IDCJAC0011,030124,2005,10,13,24.4,1,Y
IDCJAC0011,030124,2005,10,14,19.9,1,Y
IDCJAC0011,030124,2005,10,15,20.2,1,Y
IDCJAC0011,030124,2005,10,16,22.4,1,Y
IDCJAC0011,030124,2005,10,17,24.7,1,Y
IDCJAC0011,030124,2005,10,18,25.8,1,Y
