Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,030124,2004,01,01,,,
IDCJAC0009,030124,2004,01,02,,,
IDCJAC0009,030124,2004,01,03,,,
IDCJAC0009,030124,2004,01,04,,,
IDCJAC0009,030124,2004,01,05,,,
IDCJAC0009,030124,2004,01,06,,,
IDCJAC0009,030124,2004,01,07,,,
IDCJAC0009,030124,2004,01,08,,,
IDCJAC0009,030124,2004,01,09,,,
IDCJAC0009,030124,2004,01,10,,,
IDCJAC0009,030124,2004,01,11,,,
IDCJAC0009,030124,2004,01,12,,,
IDCJAC0009,030124,2004,01,13,,,
IDCJAC0009,030124,2004,01,14,,,
IDCJAC0009,030124,2004,01,15,,,
IDCJAC0009,030124,2004,01,16,,,
IDCJAC0009,030124,2004,01,17,,,
IDCJAC0009,030124,2004,01,18,,,
IDCJAC0009,030124,2004,01,19,,,
IDCJAC0009,030124,2004,01,20,,,
IDCJAC0009,030124,2004,01,21,,,
IDCJAC0009,030124,2004,01,22,,,
IDCJAC0009,030124,2004,01,23,,,
IDCJAC0009,030124,2004,01,24,,,
IDCJAC0009,030124,2004,01,25,,,
IDCJAC0009,030124,2004,01,26,,,
IDCJAC0009,030124,2004,01,27,,,
IDCJAC0009,030124,2004,01,28,,,
IDCJAC0009,030124,2004,01,29,,,
IDCJAC0009,030124,2004,01,30,,,
IDCJAC0009,030124,2004,01,31,,,
IDCJAC0009,030124,2004,02,01,,,
IDCJAC0009,030124,2004,02,02,,,
IDCJAC0009,030124,2004,02,03,,,
IDCJAC0009,030124,2004,02,04,,,
IDCJAC0009,030124,2004,02,05,,,
IDCJAC0009,030124,2004,02,06,,,
IDCJAC0009,030124,2004,02,07,,,
IDCJAC0009,030124,2004,02,08,,,
IDCJAC0009,030124,2004,02,09,,,
IDCJAC0009,030124,2004,02,10,,,
IDCJAC0009,030124,2004,02,11,,,
IDCJAC0009,030124,2004,02,12,,,
IDCJAC0009,030124,2004,02,13,,,
IDCJAC0009,030124,2004,02,14,,,
IDCJAC0009,030124,2004,02,15,,,
IDCJAC0009,030124,2004,02,16,,,
IDCJAC0009,030124,2004,02,17,,,
IDCJAC0009,030124,2004,02,18,,,
IDCJAC0009,030124,2004,02,19,,,
IDCJAC0009,030124,2004,02,20,,,
IDCJAC0009,030124,2004,02,21,,,
IDCJAC0009,030124,2004,02,22,,,
IDCJAC0009,030124,2004,02,23,,,
IDCJAC0009,030124,2004,02,24,,,
IDCJAC0009,030124,2004,02,25,,,
IDCJAC0009,030124,2004,02,26,,,
IDCJAC0009,030124,2004,02,27,,,
IDCJAC0009,030124,2004,02,28,,,
IDCJAC0009,030124,2004,02,29,,,
IDCJAC0009,030124,2004,03,01,,,
IDCJAC0009,030124,2004,03,02,,,
IDCJAC0009,030124,2004,03,03,,,
IDCJAC0009,030124,2004,03,04,,,
IDCJAC0009,030124,2004,03,05,,,
IDCJAC0009,030124,2004,03,06,,,
IDCJAC0009,030124,2004,03,07,,,
IDCJAC0009,030124,2004,03,08,,,
IDCJAC0009,030124,2004,03,09,,,
IDCJAC0009,030124,2004,03,10,,,
IDCJAC0009,030124,2004,03,11,,,
IDCJAC0009,030124,2004,03,12,,,
IDCJAC0009,030124,2004,03,13,,,
IDCJAC0009,030124,2004,03,14,,,
IDCJAC0009,030124,2004,03,15,,,
IDCJAC0009,030124,2004,03,16,,,
IDCJAC0009,030124,2004,03,17,,,
IDCJAC0009,030124,2004,03,18,,,
IDCJAC0009,030124,2004,03,19,,,
IDCJAC0009,030124,2004,03,20,,,
IDCJAC0009,030124,2004,03,21,,,
IDCJAC0009,030124,2004,03,22,,,
IDCJAC0009,030124,2004,03,23,,,
IDCJAC0009,030124,2004,03,24,,,
IDCJAC0009,030124,2004,03,25,,,
IDCJAC0009,030124,2004,03,26,,,
IDCJAC0009,030124,2004,03,27,,,
IDCJAC0009,030124,2004,03,28,,,
IDCJAC0009,030124,2004,03,29,,,
IDCJAC0009,030124,2004,03,30,,,
IDCJAC0009,030124,2004,03,31,,,
IDCJAC0009,030124,2004,04,01,,,
IDCJAC0009,030124,2004,04,02,,,
IDCJAC0009,030124,2004,04,03,,,
IDCJAC0009,030124,2004,04,04,,,
IDCJAC0009,030124,2004,04,05,,,
IDCJAC0009,030124,2004,04,06,,,
IDCJAC0009,030124,2004,04,07,,,
IDCJAC0009,030124,2004,04,08,,,
IDCJAC0009,030124,2004,04,09,,,
IDCJAC0009,030124,2004,04,10,,,
IDCJAC0009,030124,2004,04,11,,,
IDCJAC0009,030124,2004,04,12,,,
IDCJAC0009,030124,2004,04,13,,,
IDCJAC0009,030124,2004,04,14,,,
IDCJAC0009,030124,2004,04,15,,,
IDCJAC0009,030124,2004,04,16,,,
IDCJAC0009,030124,2004,04,17,,,
IDCJAC0009,030124,2004,04,18,,,
IDCJAC0009,030124,2004,04,19,,,
IDCJAC0009,030124,2004,04,20,,,
IDCJAC0009,030124,2004,04,21,,,
IDCJAC0009,030124,2004,04,22,,,
IDCJAC0009,030124,2004,04,23,,,
IDCJAC0009,030124,2004,04,24,,,
IDCJAC0009,030124,2004,04,25,,,
IDCJAC0009,030124,2004,04,26,,,
IDCJAC0009,030124,2004,04,27,,,
IDCJAC0009,030124,2004,04,28,,,
IDCJAC0009,030124,2004,04,29,,,
IDCJAC0009,030124,2004,04,30,,,
IDCJAC0009,030124,2004,05,01,,,
IDCJAC0009,030124,2004,05,02,,,
IDCJAC0009,030124,2004,05,03,,,
IDCJAC0009,030124,2004,05,04,,,
IDCJAC0009,030124,2004,05,05,,,
IDCJAC0009,030124,2004,05,06,,,
IDCJAC0009,030124,2004,05,07,,,
IDCJAC0009,030124,2004,05,08,,,
IDCJAC0009,030124,2004,05,09,,,
IDCJAC0009,030124,2004,05,10,,,
IDCJAC0009,030124,2004,05,11,,,
IDCJAC0009,030124,2004,05,12,,,
IDCJAC0009,030124,2004,05,13,,,
IDCJAC0009,030124,2004,05,14,,,
IDCJAC0009,030124,2004,05,15,,,
IDCJAC0009,030124,2004,05,16,,,
IDCJAC0009,030124,2004,05,17,,,
IDCJAC0009,030124,2004,05,18,,,
IDCJAC0009,030124,2004,05,19,,,
IDCJAC0009,030124,2004,05,20,,,
IDCJAC0009,030124,2004,05,21,,,
IDCJAC0009,030124,2004,05,22,,,
IDCJAC0009,030124,2004,05,23,,,
IDCJAC0009,030124,2004,05,24,,,
IDCJAC0009,030124,2004,05,25,,,
IDCJAC0009,030124,2004,05,26,,,
IDCJAC0009,030124,2004,05,27,,,
IDCJAC0009,030124,2004,05,28,,,
IDCJAC0009,030124,2004,05,29,,,
IDCJAC0009,030124,2004,05,30,,,
IDCJAC0009,030124,2004,05,31,,,
IDCJAC0009,030124,2004,06,01,0.0,1,N
IDCJAC0009,030124,2004,06,02,0.0,1,N
IDCJAC0009,030124,2004,06,03,0.0,1,N
IDCJAC0009,030124,2004,06,04,0.0,1,N
IDCJAC0009,030124,2004,06,05,0.0,1,N
IDCJAC0009,030124,2004,06,06,0.0,1,N
IDCJAC0009,030124,2004,06,07,0.0,1,N
IDCJAC0009,030124,2004,06,08,0.0,1,N
IDCJAC0009,030124,2004,06,09,0.0,1,N
IDCJAC0009,030124,2004,06,10,0.0,1,N
IDCJAC0009,030124,2004,06,11,0.0,1,N
IDCJAC0009,030124,2004,06,12,0.0,1,N
IDCJAC0009,030124,2004,06,13,0.0,1,N
